Όνομα,Εμφανίσεις,Λεπτά συμμετοχής,Γκολ,Σουτ,Γκολ / Τελική προσπάθεια,Δοκάρια,Χαμένες Ευκαιρίες,Πάσες,Ασίστ,Γεμίσματα,Εύστοχα Γεμίσματα,Κλεψίματα,Επεμβάσεις,Κίτρινες,Κόκκινες,Συνολικά Φάουλ,Φάουλ Υπέρ,Φάουλ Κατά,Αποκρούσεις,Τελική προσπάθεια,Ποσοστό ευστοχίας,ΜΟ Λεπτών/Παιχνίδι
Jiri Pavlenka,2,180,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,90.0
Δημήτριος Μοναστηρλής,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
Dominik Kotarski,28,2756,0,0,0/0,0,0,5,0,1,0,35,18,1,0,3,3,0,80,0,,98.42857142857143
Κωνσταντίνος Μπαλωμένος,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,
Αντώνης Τσιφτσής,1,96,0,0,0/0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,,96.0
Γιάννης Μιχαηλίδης,14,1244,0,5,0/8,0,0,227,0,9,2,27,28,4,1,21,12,9,,8,0.0,88.85714285714286
Dejan Lovren,7,660,0,0,0/4,0,0,2,0,2,1,6,21,1,1,7,2,5,,4,0.0,94.28571428571429
Omar Colley,10,860,0,2,0/3,0,0,184,0,0,0,27,31,1,0,14,9,5,,3,0.0,86.0
Tomasz Kedziora,25,2456,0,4,0/93,0,0,634,0,6,3,68,42,2,0,20,8,12,,93,0.0,98.24
Jonathan Gοmez,4,357,0,2,0/2,0,0,4,0,4,1,3,1,2,0,7,3,4,,2,0.0,89.25
Jonny Castro Otto,21,1779,0,12,0/12,1,1,368,3,24,13,79,28,2,0,57,20,37,,12,0.0,84.71428571428571
Abdul Rahman Baba,25,2109,7,18,7/20,1,2,435,1,40,21,69,24,5,0,38,21,17,1,20,35.0,84.36
Joan Sastre Vanrell,16,1157,1,10,1/11,0,0,204,2,131,14,35,17,3,0,34,20,14,,11,9.09,72.3125
Κωνσταντίνος Θυμιάνης,5,147,0,0,0/0,0,0,2,0,0,0,0,0,0,0,1,1,0,,0,,29.4
Mady Camara,30,1857,5,20,5/27,0,0,393,2,9,5,56,18,9,0,56,24,32,,27,18.52,61.9
Γιάννης Κωνσταντέλιας,28,1954,3,49,3/49,2,0,283,1,35,20,39,3,2,0,49,23,26,,49,6.12,69.78571428571429
Tiemoue Bakayoko,9,423,0,6,0/6,0,0,86,0,1,1,20,4,1,0,12,7,5,,6,0.0,47.0
Thomas Murg,20,1122,3,23,3/23,1,0,134,2,31,8,16,5,1,0,15,7,8,,23,13.04,56.1
Adelino André Vieirinha,6,260,0,1,0/1,0,0,18,2,10,5,5,3,1,0,3,0,3,,1,0.0,43.333333333333336
Stefan Schwab,29,1767,4,23,4/27,0,0,284,2,28,15,43,10,3,0,39,18,21,,27,14.81,60.93103448275862
Magomed Ozdoev,26,2006,2,17,2/18,2,0,383,1,14,5,103,22,5,0,49,22,27,,18,11.11,77.15384615384616
Shola Shoretire,15,458,3,4,3/5,0,0,38,0,15,7,3,0,0,0,12,6,6,,5,60.0,30.533333333333335
Fedor Chalov,24,1168,4,24,4/28,3,1,92,3,9,5,15,5,0,0,25,14,11,,28,14.29,48.666666666666664
Taison Barcellos Freda,24,1720,6,34,6/35,0,0,358,1,54,32,45,3,1,0,31,20,11,,35,17.14,71.66666666666667
Andrija Zivkovic,29,2100,6,36,6/37,0,1,427,7,125,79,55,14,3,0,39,22,17,,37,16.22,72.41379310344827
Tarik Tissoudali,24,1039,6,15,6/18,1,0,49,1,10,7,17,3,3,0,27,8,19,,18,33.33,43.291666666666664
Mbwana Ally Samatta,8,293,0,3,0/3,1,0,10,1,0,0,3,0,0,0,6,2,4,,3,0.0,36.625
Brandon Thomas Llamas,13,756,2,10,2/10,0,0,78,0,4,0,10,1,0,0,21,14,7,,10,20.0,58.15384615384615
Kiril Despodov,29,1382,7,31,7/31,1,0,148,7,94,44,18,5,2,0,47,22,25,,31,22.58,47.6551724137931
